Obstacles. Obstacles are stored as rectangles. Rectangle is denoted by two points; top left and bottom right.
Top Left X	Top Left X Y	Bottom Right X	Bottom Right Y
25	25	75	75
125	25	175	75
225	25	275	75
325	25	375	75
425	25	475	75
525	25	575	75
625	25	675	75
725	25	775	75
825	25	875	75
925	25	975	75
1025	25	1075	75
1125	25	1175	75
1225	25	1275	75
1325	25	1375	75
1425	25	1475	75
1525	25	1575	75
1625	25	1675	75
1725	25	1775	75
1825	25	1875	75
1925	25	1975	75
2025	25	2075	75
2125	25	2175	75
2225	25	2275	75
2325	25	2375	75
2425	25	2475	75
2525	25	2575	75
2625	25	2675	75
2725	25	2775	75
2825	25	2875	75
2925	25	2975	75
25	125	75	175
125	125	175	175
225	125	275	175
325	125	375	175
425	125	475	175
525	125	575	175
625	125	675	175
725	125	775	175
825	125	875	175
925	125	975	175
1025	125	1075	175
1125	125	1175	175
1225	125	1275	175
1325	125	1375	175
1425	125	1475	175
1525	125	1575	175
1625	125	1675	175
1725	125	1775	175
1825	125	1875	175
1925	125	1975	175
2025	125	2075	175
2125	125	2175	175
2225	125	2275	175
2325	125	2375	175
2425	125	2475	175
2525	125	2575	175
2625	125	2675	175
2725	125	2775	175
2825	125	2875	175
2925	125	2975	175
25	225	75	275
125	225	175	275
225	225	275	275
325	225	375	275
425	225	475	275
525	225	575	275
625	225	675	275
725	225	775	275
825	225	875	275
925	225	975	275
1025	225	1075	275
1125	225	1175	275
1225	225	1275	275
1325	225	1375	275
1425	225	1475	275
1525	225	1575	275
1625	225	1675	275
1725	225	1775	275
1825	225	1875	275
1925	225	1975	275
2025	225	2075	275
2125	225	2175	275
2225	225	2275	275
2325	225	2375	275
2425	225	2475	275
2525	225	2575	275
2625	225	2675	275
2725	225	2775	275
2825	225	2875	275
2925	225	2975	275
25	325	75	375
125	325	175	375
225	325	275	375
325	325	375	375
425	325	475	375
525	325	575	375
625	325	675	375
725	325	775	375
825	325	875	375
925	325	975	375
1025	325	1075	375
1125	325	1175	375
1225	325	1275	375
1325	325	1375	375
1425	325	1475	375
1525	325	1575	375
1625	325	1675	375
1725	325	1775	375
1825	325	1875	375
1925	325	1975	375
2025	325	2075	375
2125	325	2175	375
2225	325	2275	375
2325	325	2375	375
2425	325	2475	375
2525	325	2575	375
2625	325	2675	375
2725	325	2775	375
2825	325	2875	375
2925	325	2975	375
25	425	75	475
125	425	175	475
225	425	275	475
325	425	375	475
425	425	475	475
525	425	575	475
625	425	675	475
725	425	775	475
825	425	875	475
925	425	975	475
1025	425	1075	475
1125	425	1175	475
1225	425	1275	475
1325	425	1375	475
1425	425	1475	475
1525	425	1575	475
1625	425	1675	475
1725	425	1775	475
1825	425	1875	475
1925	425	1975	475
2025	425	2075	475
2125	425	2175	475
2225	425	2275	475
2325	425	2375	475
2425	425	2475	475
2525	425	2575	475
2625	425	2675	475
2725	425	2775	475
2825	425	2875	475
2925	425	2975	475
25	525	75	575
125	525	175	575
225	525	275	575
325	525	375	575
425	525	475	575
525	525	575	575
625	525	675	575
725	525	775	575
825	525	875	575
925	525	975	575
1025	525	1075	575
1125	525	1175	575
1225	525	1275	575
1325	525	1375	575
1425	525	1475	575
1525	525	1575	575
1625	525	1675	575
1725	525	1775	575
1825	525	1875	575
1925	525	1975	575
2025	525	2075	575
2125	525	2175	575
2225	525	2275	575
2325	525	2375	575
2425	525	2475	575
2525	525	2575	575
2625	525	2675	575
2725	525	2775	575
2825	525	2875	575
2925	525	2975	575
25	625	75	675
125	625	175	675
225	625	275	675
325	625	375	675
425	625	475	675
525	625	575	675
625	625	675	675
725	625	775	675
825	625	875	675
925	625	975	675
1025	625	1075	675
1125	625	1175	675
1225	625	1275	675
1325	625	1375	675
1425	625	1475	675
1525	625	1575	675
1625	625	1675	675
1725	625	1775	675
1825	625	1875	675
1925	625	1975	675
2025	625	2075	675
2125	625	2175	675
2225	625	2275	675
2325	625	2375	675
2425	625	2475	675
2525	625	2575	675
2625	625	2675	675
2725	625	2775	675
2825	625	2875	675
2925	625	2975	675
25	725	75	775
125	725	175	775
225	725	275	775
325	725	375	775
425	725	475	775
525	725	575	775
625	725	675	775
725	725	775	775
825	725	875	775
925	725	975	775
1025	725	1075	775
1125	725	1175	775
1225	725	1275	775
1325	725	1375	775
1425	725	1475	775
1525	725	1575	775
1625	725	1675	775
1725	725	1775	775
1825	725	1875	775
1925	725	1975	775
2025	725	2075	775
2125	725	2175	775
2225	725	2275	775
2325	725	2375	775
2425	725	2475	775
2525	725	2575	775
2625	725	2675	775
2725	725	2775	775
2825	725	2875	775
2925	725	2975	775
25	825	75	875
125	825	175	875
225	825	275	875
325	825	375	875
425	825	475	875
525	825	575	875
625	825	675	875
725	825	775	875
825	825	875	875
925	825	975	875
1025	825	1075	875
1125	825	1175	875
1225	825	1275	875
1325	825	1375	875
1425	825	1475	875
1525	825	1575	875
1625	825	1675	875
1725	825	1775	875
1825	825	1875	875
1925	825	1975	875
2025	825	2075	875
2125	825	2175	875
2225	825	2275	875
2325	825	2375	875
2425	825	2475	875
2525	825	2575	875
2625	825	2675	875
2725	825	2775	875
2825	825	2875	875
2925	825	2975	875
25	925	75	975
125	925	175	975
225	925	275	975
325	925	375	975
425	925	475	975
525	925	575	975
625	925	675	975
725	925	775	975
825	925	875	975
925	925	975	975
1025	925	1075	975
1125	925	1175	975
1225	925	1275	975
1325	925	1375	975
1425	925	1475	975
1525	925	1575	975
1625	925	1675	975
1725	925	1775	975
1825	925	1875	975
1925	925	1975	975
2025	925	2075	975
2125	925	2175	975
2225	925	2275	975
2325	925	2375	975
2425	925	2475	975
2525	925	2575	975
2625	925	2675	975
2725	925	2775	975
2825	925	2875	975
2925	925	2975	975
25	1025	75	1075
125	1025	175	1075
225	1025	275	1075
325	1025	375	1075
425	1025	475	1075
525	1025	575	1075
625	1025	675	1075
725	1025	775	1075
825	1025	875	1075
925	1025	975	1075
1025	1025	1075	1075
1125	1025	1175	1075
1225	1025	1275	1075
1325	1025	1375	1075
1425	1025	1475	1075
1525	1025	1575	1075
1625	1025	1675	1075
1725	1025	1775	1075
1825	1025	1875	1075
1925	1025	1975	1075
2025	1025	2075	1075
2125	1025	2175	1075
2225	1025	2275	1075
2325	1025	2375	1075
2425	1025	2475	1075
2525	1025	2575	1075
2625	1025	2675	1075
2725	1025	2775	1075
2825	1025	2875	1075
2925	1025	2975	1075
25	1125	75	1175
125	1125	175	1175
225	1125	275	1175
325	1125	375	1175
425	1125	475	1175
525	1125	575	1175
625	1125	675	1175
725	1125	775	1175
825	1125	875	1175
925	1125	975	1175
1025	1125	1075	1175
1125	1125	1175	1175
1225	1125	1275	1175
