Obstacles. Obstacles are stored as rectangles. Rectangle is denoted by two points; top left and bottom right.
Top Left X	Top Left X Y	Bottom Right X	Bottom Right Y
25	25	75	75
125	25	175	75
225	25	275	75
325	25	375	75
425	25	475	75
25	125	75	175
125	125	175	175
225	125	275	175
325	125	375	175
425	125	475	175
25	225	75	275
125	225	175	275
225	225	275	275
325	225	375	275
425	225	475	275
25	325	75	375
125	325	175	375
225	325	275	375
325	325	375	375
425	325	475	375
25	425	75	475
125	425	175	475
225	425	275	475
325	425	375	475
425	425	475	475
