Obstacles. Obstacles are stored as rectangles. Rectangle is denoted by two points; top left and bottom right.
Top Left X	Top Left X Y	Bottom Right X	Bottom Right Y
25	25	75	75
125	25	175	75
225	25	275	75
325	25	375	75
425	25	475	75
525	25	575	75
625	25	675	75
725	25	775	75
825	25	875	75
925	25	975	75
25	125	75	175
125	125	175	175
225	125	275	175
325	125	375	175
425	125	475	175
525	125	575	175
625	125	675	175
725	125	775	175
825	125	875	175
925	125	975	175
25	225	75	275
125	225	175	275
225	225	275	275
325	225	375	275
425	225	475	275
525	225	575	275
625	225	675	275
725	225	775	275
825	225	875	275
925	225	975	275
25	325	75	375
125	325	175	375
225	325	275	375
325	325	375	375
425	325	475	375
525	325	575	375
625	325	675	375
725	325	775	375
825	325	875	375
925	325	975	375
25	425	75	475
125	425	175	475
225	425	275	475
325	425	375	475
425	425	475	475
525	425	575	475
625	425	675	475
725	425	775	475
825	425	875	475
925	425	975	475
25	525	75	575
125	525	175	575
225	525	275	575
325	525	375	575
425	525	475	575
525	525	575	575
625	525	675	575
725	525	775	575
825	525	875	575
925	525	975	575
25	625	75	675
125	625	175	675
225	625	275	675
325	625	375	675
425	625	475	675
525	625	575	675
625	625	675	675
725	625	775	675
825	625	875	675
925	625	975	675
25	725	75	775
125	725	175	775
225	725	275	775
325	725	375	775
425	725	475	775
525	725	575	775
625	725	675	775
725	725	775	775
825	725	875	775
925	725	975	775
25	825	75	875
125	825	175	875
225	825	275	875
325	825	375	875
425	825	475	875
525	825	575	875
625	825	675	875
725	825	775	875
825	825	875	875
925	825	975	875
25	925	75	975
125	925	175	975
225	925	275	975
325	925	375	975
425	925	475	975
525	925	575	975
625	925	675	975
725	925	775	975
825	925	875	975
925	925	975	975
